id,installer_name,profile_pic,address,pincode,City,state,longitude,lattitude,Application Code,Rating Agency,Rating,Category,contact,contact1,mobile,email,fax_no,website,about_installer
1,Aditi Solar Pvt. Ltd.,default-img.png,"Plot No. 17, ALEAP Industrial Estate Gajula Ramaram, Quthbullapur (M) R.R",500090,Hyderabad,Andhra Pradesh,78.44,17.51,Application Code,Rating Agency,Rating,Category,contact,contact1,mobile,email,fax_no,website,about_installer
2,Akshaya Solar Power India,default-img.png,"Plot No. 60/C/E, 1st and 2nd Floors, Phase I, IDA, Jeedimetla",500055,Hyderabad,Andhra Pradesh,78.43,17.52,893,CRISIL,3B,B,040-40064524 /40064523,,,raju@akshayasolar.com,,www.akshayasolar.com,
3,Andromeda Energy Technologies Ltd,default-img.png,"#9-1-18 to 24, No 4 1st Floor, SP Road, Opp Civil Court",500003,Secunderabad,Andhra Pradesh,78.53,17.36,,,,,040-27083147,Fax: 040-66260277,9948333285,knrao@andromedasolar.com,,www.andromedasolar.com,
4,Arunodaya Power Projects Pvt. Ltd.,default-img.png,"H.No. 2-2-1130, Jamalpuram Enclave, flat no. 201, Nallakunta",500004,Hyderabad,Thermax,78.43,17.43,,,,,9346599062,,,,,,
5,Bhagyanagar Energy & Telecom Pvt. Ltd.,default-img.png,"5th Floor, Surya Towers, Sardar Patel Road",500003,Secunderabad,Andhra Pradesh ,78.44,17.45,,,,,040-27845119,Fax: 040-27848851,,,,,
6,Bluefields Energy Pvt. Ltd.,default-img.png,"Plot No. 409, Road No. 81, Phase-3, Jubilee Hills",500033,Hyderabad,Andhra Pradesh,78.4,17.41,,,,,9494948294,,,srujan@nuevo-sol.com,,,
7,Cirus Solar systems,default-img.png,"3rd Floor, Block No. 127/128, Lakeview Plaza, Madhapur",500081,Hyderabad,Andhra Pradesh,78.38,17.43,,,,,8008100139,,,enquiry@cirussolar.com,,www.cirussolar.com,
8,Cyber Motion Technologies Pvt. Ltd.,default-img.png,"#235, Road No. 14, Banjara Hills",500034,Hyderabad,Andhra Pradesh,78.43,17.42,,CRISIL,2B,,040-66666653/54,Fax: 040-66666624,,,,,
9,Digimicro Technologies,default-img.png,"Plot no. 163P & 164, 2nd Floor, Srikrishna Plaza, Mahesh Nagar, Near Radhika Theatre, ECIL",,Hyderabad,Andhra Pradesh,78.47,17.49,,,,,040-40114178,,, raokvk@yahoo.com,,,
10,Fourth Partner Energy,default-img.png,"704, Krishna Apartments, Tilak Road, Abida, Hyderabad 500001",500001,Hyderabad,Andhra Pradesh,78.47,17.39,,,,,040-64631123,,,info@fourthpartner.co,,www.fourthpartner.co,
11,Fourth Partner Energy Pvt. Ltd.,default-img.png,"704, Krishna Apartments, Tilak Road, Abids, Hyderabad-500001",500001,Hyderabad,Andhra Pradesh,78.43,17.4,,,,,040-64631123,,,,,,
12,Greentek India,default-img.png,"Plot No. 8, Lepakshi Colony, West Maredpally",500026,Secunderabad,Andhra Pradesh,78.5,17.45,,,,,9819752339,,,greentek1@gmail.com,,www.greentekindia.co.in,
13,HBL Power Systems Ltd.,default-img.png,"Road No. 10, Banjara Hills",500034,Hyderabad,Andhra Pradesh,78.44,17.42,,CRISIL,1A,,011-22161210,Fax: 011-22160062,,,,,
14,HCD Solar Solutions Pvt. Ltd.,default-img.png,"5th Floor, Vijai Electronics, Rajbhavan Road",500034,Hyderabad,Andhra Pradesh,78.44,17.42,,,,,040-23394959,Fax: 040-23398204,,info@hcdfuture.com,,www.hcdfuture.com,
15,Instruments Techniques Pvt. Ltd.,default-img.png,"B-2, Co-operative Industrial Estate, Balanagar",500037,Hyderabad,Andhra Pradesh,78.48,17.38,,,,,040-23774102,Fax: 040-23774386,,ravi.surapaneni@itlpower.com,,itlpower.com,
16,IntelliDecs Power,default-img.png,"8-2-120/76, Plot No. 89, Road No. 2, Banjara Hills",500034,Hyderabad,Andhra Pradesh,78.43,17.42,,,,,040-45678899,Fax: 040-45678880,,info@intellidecs.com,,www.intellidecs.com,
17,Kohima Energy,default-img.png,"B-87,6-3-1109/G/1, Ground Floor, NavaBharat Chambers, Somajiguda",500082,Hyderabad,Andhra Pradesh,78.45,17.42,,,,,040/64578016,,,solar@kohimaenergy.com,,www.kohimaenergy.com,
18,Meera & Ceiko Pumps (P) Ltd.,default-img.png,"Door no. 4-3-161, 2153/5, Hill Street, Ranigunj",500003,Secunderabad,Andhra Pradesh,78.48,17.43,,,,,Tel: 040-27765793,Fax: 040-27614376,,hyd1_meera@sancharnet.in,,,
19,Nano Bright Solar Technology Pvt. Ltd.,default-img.png,"Plot No. 83, Phase II, IDA Cherlapalli",500051,Hyderabad,Andhra Pradesh,78.59,17.47,,,,,040-64643880-82; ,9849152161,9849152161,venkat@ nanobrightsolar.com,,www.nanobrightsolar.com,
20,Novus Green Energy Systems Pvt. Ltd.,default-img.png,"Suite, 1,2nd Floor, SIDDHI, #100 P&T Colony, Trimulgherry, ",500015,Secunderabad,Andhra Pradesh,78.4,17.44,,,,,0771-6463245,Fax: 0771-2284010,,anshuman@novusgreen.in,,www.novusgreen.in,
21,NSL Renewable Power,default-img.png,"4th Floor, NSL ICON, D. No. 8-2-648/2/A, Road No. 12, Banjara Hills",500034,Hyderabad,Andhra Pradesh,78.43,17.41,,,,,011-30514444,,,info@nsl.com,,www.nslpower.com,
22,Nuevosol Energy Pvt. Ltd.,default-img.png,Jubilee Hills,500033,Hyderabad,Andhra Pradesh,78.4,17.41,,,,,9494948294,,, srujan@nuevo-sol.com,,nuevo-sol.com,
23,Photon Energy Systems Ltd,default-img.png,"Plot No 775-K, Road No 45, Jubilee Hills",500033,Hyderabad,Andhra Pradesh,78.43,17.41,851,CRISIL,1C,A,040-23331337; ,Fax: 040-23331340,9899792639,photon@photonsolar.in,,www.photonsolar.com,
24,PPS Enviro Power*,default-img.png,"D-97/A, Road No. 18, IDA, Phase-I, Jeedimetla",500055,Hyderabad,Andhra Pradesh,78.45,17.51,,,,, 040-23195123/24,Fax: 040-23195033,,vijay@ppsenviro.com,,http://ppsenviro.com/,
25,Premier Solar Systems,default-img.png,"3rd Floor, VV Towers, Kharkhana Main Road",500009,Secunderabad,Andhra Pradesh,78.49,17.45,184,ICRA,2B,A,040-27744415,Fax: +91-40-27744417,,info@premiersolarsystems.com,,www.premiersolarsystems.c,
26,Radiant Solar Pvt. Ltd.,default-img.png,"Plot No. 15, Fabcity SEZ, Raviryal (V), Maheswaram (M)",501510,Hyderabad,Andhra Pradesh,78.47,17.24,,,,,7702114958,,,viswanathn@radiantsolar.us,,radiantsolar.us,
27,Servomax India Ltd.,default-img.png,"Plot No. 16,17 & 18, IDA
Phase-II, Cherlapally,
",5000051,Hyderabad,Andhra Pradesh,78.44,17.47,,,,,8885522663,,,,,,
28,Sirius Solar Energy Systems Pvt. Ltd.,default-img.png,"H.No. 3-6-35/14, Plot No. 454, Vivekananda Nagar, Kukatpally",5000072,Hyderabad,Andhra Pradesh,78.39,17.49,890,CRISIL,3B,B,040-23061004,,,,,,
29,Solar Integration Systems India Pvt. Ltd.,default-img.png,"18 iLabs Centre, Software Units Layout Madhapur",500081,Hyderabad,Andhra Pradesh,78.36,17.43,,,,,"040 4048 4444,",Fax: 040 4048 4445,,info@solarsis.in,,www.solarsis.in,
30,Solon India Pvt. Ltd.,default-img.png,"1-4-7 to 10,105, F Block, 1st Floor, Surya Towers, Sardar Patel Road",500003,Secunderabad,Andhra Pradesh,78.48,17.44,,,,,040-27813322-23,Fax: 040-27813358,,pcm.rao@solon.com,,www.solon.com,
31,Soma Enterprises,default-img.png,"2, Avenue 4, Banjara Hills",500034,Hyderabad,Andhra Pradesh,78.44,17.41,,,,,040-66538899,,,info@soma.co.in,,www.soma.co.in,
32,SS Solar Pvt. Ltd.,default-img.png,"C2, Pooja Plaza, Vikrampuri",500009,Secunderabad,Andhra Pradesh,78.49,17.46,,,,,040-27883333,Fax: 040-27883344,,,,,
33,SSJ Power Projects & Infrastructures Pvt. Ltd.,default-img.png,"8-2-41327/1, Road No 4, Banjara Hill",500034,Hyderabad,Andhra Pradesh,78.43,17.42,,,,,040-23323234,,,ssjsolar@gmail.com,,,
34,Sujana Energy Ltd,default-img.png,"#601A, Astral Heights Road No. 1, Banjara Hills",500034,Hyderabad,Andhra Pradesh,78.44,17.42,,,,,040-23350953,,,,,,
35,Sungrace Energy Solutions Pvt. Ltd,default-img.png,"F-4, Road No. 12, IDA Nacharam",500076,Hyderabad,Andhra Pradesh,78.56,17.43,,ICRA,3B,,040-27157894/95,Fax: 040-27157893.,,,,,
36,Sunwatt Soltech (P) Ltd.,default-img.png,"Sunwatt House, MIG C-20, Dr. A.S Rao Nagar, ECIL Post",500062,Hyderabad,Andhra Pradesh,78.48,17.38,,,,,040-27130465,Fax: 040-27135387,,,,,
37,Surana Ventures Ltd,default-img.png,"5th Floor, Surya Towers, Sardar Patel Road",500003,Secunderabad,Andhra Pradesh,78.39,17.42,,,,, 040-44665736,,9676779090,ssanghi@surana.com,,www.surana.com,
38,Thrive Solar Energy Pvt. Ltd.,default-img.png,"Plot No. 121/3/East, Phase II, Sector I, Lane 9, IDA Charlapally",500051,Hyderabad,Andhra Pradesh,0,17.46,777,ICRA,2B,A,040-32901212,91-9949325007,,dhanu@thriveenergy.co.in,,www.thriveenergy.co.in,
39,Veddis Solars Pvt. Ltd.,default-img.png,"Plot No. 13, Telecom Nagar, Gachibowli",500048,Hyderabad,Andhra Pradesh,78.41,17.36,,,,,040-39104910,91-9959358844,,info@veddissolars.com,,,
40,Zenith Energy Services Pvt. Ltd.,default-img.png,"10-5-6/B, My Home Plaza, Masab Tank",500028,Hyderabad,Andhra Pradesh,78.44,17.4,,,,,040-23376630,Fax: 040-23322517,,mohan@zenithenergy.com,,zenithenergy.com,
41,Green Ripples Pvt. Ltd.,default-img.png,"395, New Shanti Nagar",492007,Raipur,Chhattisgarh,81.65,21.24,,,,,0771-4060169,,,Rajeev.sood@greenripples.com,,http://greenripples.com/,
42,AKW Electronics,default-img.png,"B-177, Okhla Industrial Area, Phase-I",110020,New Delhi,Delhi,77.24,28.55,,,,, 011-41406775,Fax: 011-41406776,,,,,
43,Alpex Exports Pvt. Ltd.,default-img.png,"81/2, F.F, Sri Aurbindo Marg, Next to Turquoise Cottage Restarurant, Adchini",111017,New Delhi,Delhi,77.19,28.53,,,,,011-26547000,Fax: 011-26515355,,,,,
